品名,價格
【典贊創意】寵物電動磨甲機(貓狗鳥兔皆適用磨甲磨爪磨喙鸚鵡嘴喙爪子寵物指甲修剪打磨寵物美容用品),$309(售價已折)
【QUNDO 康朵】防蟑螂螞蟻噴劑 500ml-4入組(成分天然驅蟲 幼兒寵物免緊張),$999
【寵物愛家】寵物四面透氣手提單肩太空包寵物便利外出(寵物外出用品),"$1,020(售價已折)"
【秋文商號】電解水碗盤清潔液 HCS-002_500ml*1(碗盤清潔/寵物碗盤/蔬果清潔/嬰兒用品),$290
【AQUAFUN 水之樂】烏龜寵物爬蟲缸(長度45公分),"$1,395(售價已折)"
【MODODO 摸宇宙漫步胸背帶(寵物胸背帶 胸背帶 牽繩 胸背衣 外出用品 寵物服飾 寵物衣 寵物商品),$690
【Union汝欣】噢易洗 OEC 口腔衛生用品 潔齒液 120mL(寵物潔牙水),$220
【CS22】NOMO寵物爬蟲類加熱夜燈(夜間保溫/烏龜 蜥蜴 蛇),$281(售價已折)
【Josogo】寵物外出包(風扇+夜燈 寵物提籠 韓版手提包 單肩斜背包 手提太空艙貓籠 寵物外出用品),"$1,354(售價已折)"
【古德斯】寵物衝鋒衣(防風\防寒\防水\雨衣\雨具\秋冬\寵物外出用品),$409(售價已折)
【寵物愛家】夏季Q版卡通寵物降溫冰墊-M(寵物生活用品),$294(售價已折)
【ROYALLIN 蘿林嚴選】雙層大狗雨衣防寒戶外狗狗衝鋒雨衣(狗雨衣 寵物 雨衣 貓 狗 寵物外出用品 雨具),$431(售價已折)
【彬彬小舖】新一代『 三輪-寵物手推車 』一鍵折疊 狗貓推車(出行用品 寵物車 外出包 狗籠 提籠 寵物推車),"$1,399(售價已折)"
【上芳香業】紙紮。往生用品。九品 蓮花塔 九色 往生咒 靈堂(頭七 百日 對年 往生者 祖先 寵物),$702(售價已折)
【PAWS FAMILIA 爪子本舖】寵物自動伸縮牽引繩-3米(寵物伸縮牽繩/伸縮牽繩/牽繩/寵物外出用品),$322(售價已折)
加大寵物外出拉桿箱推車XL號(透氣大空間寵物推車貓包狗狗外出包寵物外出用品),"$2,070(售價已折)"
【彬彬小舖】Bello正品『三輪-寵物手推車』一鍵折疊 狗貓推車(出行用品 寵物車 外出包 狗籠 提籠 寵物推車),"$1,492(售價已折)"
汽車後座防水寵物車墊 600D高密度牛津布 雙層 耐磨 大型犬 中型犬(外出用品 寵物坐墊 車用坐墊),$971
小寵物 精緻項圈 SM皮革頸鍊(情趣.SM.情趣用品),$374(售價已折)
【pidan】手持軟膠逗貓棒 寵物 質感纖維彈性桿(貓玩具 貓遊戲用品),$250
【Besthot】高透明觀賞昆蟲寵物箱 中型(外出提箱 飼養箱 分開合養箱),可訂購時通知我$561(售價已折)
【彬彬小舖】Bello正品『四輪-寵物手推車』(一鍵折疊 狗推車 出行用品 寵物推車 外出包 狗籠 提籠 寵物),"$1,492(售價已折)"
【寵物愛家】新穎商品貓咪狗狗家用吹風機烘乾箱-M(寵物生活用品),$861(售價已折)
【白玉翡翠】北歐風衣物除毛器(黏毛器 除塵刷 靜電除毛 衣服 寵物毛 清潔用品 滾毛器 除毛球器),$299
【ENJOY LIFE 樂享生活】四合一多功能電動寵物剃毛器-11件組電剪 粉/白/綠(美容磨甲/貓狗用品/防水),$486(售價已折)
【上芳香業】紙紮。往生用品。迷你花園別墅紙紮屋附房契(往生者 祖先 寵物往生亦可適用),$431(售價已折)
【寵物愛家】掛籠平放式寵物飲水器寵物日常用品(寵物飲水器),$354(售價已折)
【QUNDO 康朵】防蟑螂螞蟻噴劑 500ml-2入組(成分天然驅蟲 幼兒寵物免緊張),$598
【PETA】寵物長條動物毛絨發聲玩具-灰象(狗狗卡通粉豬灰象寵物玩具用品),$117(售價已折)
【毛孩的秘密生活】太空艙寵物泡泡背包 六色可選(後背包/寵物包/雙肩背包/寵物外出用品),$427(售價已折)
【Francodex法國法典】小動物蟲蟲終結者-噴劑(寵物 老鼠 兔子 雪貂 趕走 跳蚤),$319(售價已折)
【SUNORO】寵物電動剃毛器 貓咪腳掌剃毛電剪 狗狗腳底毛修毛器(寵物電剪/貓狗用品),$439
【GEX】透視屋系列 小寵物絲綢浴砂 600g(寵物鼠 倉鼠 黃金鼠 便盆用),$136(售價已折)
【上芳香業】往生紙紮。擬真麻將組 往生紙紮 附封條 打牌 牌尺(頭七 百日 對年 往生者 先 寵物往生),$824(售價已折)
【pidan】貓狗專用濕紙巾-改版翻蓋款 80抽 超值3包入 寵物 環境 家庭款(寵物清潔護理用品),$270
【上芳香業】紙紮。往生用品。紙紮龍船 往生龍船 台幣版 美金版 冥鈔(頭七 百日 對年 往生者 先 寵物往生),"$1,500(售價已折)"
【BOBOS】M1動力寵物手推車 深灰/黑(出行用品/寵物車/外出包/狗籠/提籠/寵物推車),"$8,757(售價已折)"
【上芳香業】往生用品。靈骨塔。小蓮花 九朵 金條 手提資財袋(頭七 百日 對年 往生者 祖先 寵物往生適用),$299(售價已折)
【Kotobuki 壽工藝】HYDRA 3133 烏龜兩棲爬蟲玻璃寵物箱 M(日式缸 鬆獅蜥 守宮 蛇 310x304x330mm),"$2,362(售價已折)"
【YUNMI】雙頭逗貓棒 激光逗貓筆 逗貓棒 貓狗玩具 寵物玩具 貓咪用品,$367(售價已折)
【GEX】小動物柔軟白淨棉紙墊料1公斤 3包組(處女紙漿 白色 墊料 寵物鼠),$940(售價已折)
【寵物愛家】活力橙大容量貓犬外出雙肩背包寵物外出包(寵物外出用品),"$1,242(售價已折)"
【寵物夢工廠】抽屜式貓砂盆 貓砂盆 防噴濺貓砂(全封閉式貓砂盆 頂入式 防臭屎盆 貓廁所 貓砂 貓咪用品),$674(售價已折)
【KOJIMA】日本寵物護理用品 耳洗淨滴耳液(清耳護理液 潔耳液 植物萃取),$190
【Canary】Pet Best 小動物專用浴砂 500g(寵物鼠 蜜袋鼯 倉鼠 洗澡 砂浴 消臭),$129
【KOJIMA】日本寵物護理用品 潔牙美牙筆(清潔牙齒 去污除漬),$290
【CS22】NOMO寵物爬蟲類加熱夜燈(夜間保溫/烏龜 蜥蜴 蛇),$311(售價已折)
【Pet and Pets喵旺家族】Pebble寵物推車(寵物車 貓 狗 外出用品 耐用可愛),"$2,197(售價已折)"
【香濃寵物】雲上小鳥 松木雲朵站台(鸚鵡玩具、鳥用品、鸚鵡用品、啃咬玩具),$215
【Josogo】寵物外出籠 寵物提籠 貓咪側背包 手提太空艙貓籠 寵物外出用品(風扇+夜燈 24L大容量 擼貓口設計),"$2,459(售價已折)"
【YOYO 悠悠水族】爬蟲聚熱燈泡_50W(兩棲爬蟲、爬蟲用品、陸龜用品、鸚鵡用品、寵物保溫、陸龜保溫),$320
【YOYO 悠悠水族】撞針式寵物飲水器_四入組(鳥用品、鳥玩具、鸚鵡用品、鸚鵡玩具、滾珠水瓶),$599
【YOYO 悠悠水族】寵物鳥益智方塊_單入組(鳥用品、鳥玩具、鸚鵡用品、鸚鵡玩具),$249
【YOYO 悠悠水族】撞針式寵物飲水器_二入組(鳥用品、鳥玩具、鸚鵡用品、鸚鵡玩具、滾珠水瓶),$349
【卷貝貝生活館】寵物時尚雨鞋-S、M、L碼(寵物雨鞋 寵物防滑鞋 寵物外出用品 貓狗通用 雨天用品),$249
【pidan】貓狗專用濕紙巾-改版翻蓋款 80抽 超值6包入 寵物 環境 家庭款(寵物清潔護理用品),$380
【Kotobuki 壽工藝】HYDRA 4625 烏龜兩棲爬蟲寵物箱 L(日式缸 鬆獅蜥 守宮 蛇 461x461x250mm),"$4,139(售價已折)"
【PAWS FAMILIA 爪子本舖】寵物清潔除毛梳(寵物美容用品 針梳 按摩梳 脫毛梳 貓狗),$400(售價已折)
【卷貝貝生活館】圍欄寵物尿盆-小號(寵物廁所 寵物尿盆 狗廁所 拆分式水洗 狗用品 狗尿盆 寵物便盆),$457
【KOJIMA】寵物專用全身護理清潔用品(除臭、清潔、護理),$599
【e系列汽車用品】車用後座寵物墊 KC761-1(隔離網 後排防水墊 寵物後座 保潔墊),$650
【寵物愛家】寵物單肩斜背寵物外出透氣包(寵物外出用品),$887(售價已折)
【PETHROOM】寵物淋浴花灑 按摩刷頭 2.0(貓狗沐浴用品),$650
【寵物覺醒】鸚鵡玩具超值鸚鵡派對玩樂磨牙四件原色組＿3入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【ENJOY LIFE 樂享生活】寵物潔牙指套濕紙巾 50枚(牙齒清潔濕巾 貓狗刷牙用品),$179
【YOYO 悠悠水族】寵物溫控加熱墊_7W(兩棲爬蟲、爬蟲用品、陸龜用品、鸚鵡用品、寵物保溫、陸龜保溫),$450
【寵物覺醒】鸚鵡玩具玉米墨魚骨磨牙石啃咬串＿10入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【寵物覺醒】鸚鵡玩具天然墨魚骨磨牙石塊啃咬串_10入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【美好寵商】DOGNESS多尼斯 反光系列胸背帶_S號(狗胸背 狗用品 寵物胸背),$550
貓咪引力叫叫球-小鳥聲(貓玩具 逗貓球 寵物球 寵物解悶 寵物玩具 貓咪用品 逗貓神器),$327(售價已折)
【Kotobuki 壽工藝】HYDRA 3120 烏龜兩棲爬蟲玻璃寵物箱 S(日式缸 鬆獅蜥 守宮 蛇 310x304x200mm),"$1,753(售價已折)"
【美好寵商】DOGNESS多尼斯 反光系列項圈_M號(狗項圈 狗用品 寵物項圈),$430
【卷貝貝生活館】圍欄寵物尿盆-大號(寵物廁所 寵物尿盆 狗廁所 拆分式水洗 狗用品 狗尿盆 寵物便盆),$537
【寵物夢工坊】兔子二合一草架(牧草架  兔子用品 彈簧草架 兔飼料架 防撥草 固定式 豚鼠 兔子碗),$499
【pidan】孔雀翎逗貓棒 寵物 精緻 時尚質感 高貴(貓玩具 貓遊戲用品),$550
【OXBOW】純紙漿舒適床墊36L-3包組(處女紙漿/白色/墊料/寵物鼠),"$1,113(售價已折)"
【Kotobuki 壽工藝】HYDRA 3120 WHITE 烏龜兩棲爬蟲玻璃寵物箱 S(日式缸 鬆獅蜥 守宮 蛇 310x304x200mm),"$1,753(售價已折)"
【LINSLINS 林趣】寵物黏毛器 手握款 兩色(貓狗環境清潔用品),$63
【Canary】Pet Best小動物抗菌消臭雙效浴砂 1kg(寵物鼠 蜜袋鼯 花香&果香共16種香味),$160
仿真草寵物廁所 AH-110(仿真草皮狗廁所 泰迪寵物狗狗用品 大型犬小型犬),$380(售價已折)
【ANIBIO 德國家醫】驅蟲魔力磁(犬貓適用/驅蟲用品),$940(售價已折)
【PETA】簡約風糖果寵物狗碗貓雙碗水碗食盆*2入(防滑防打翻飲水餵食器貓咪用品),$153(售價已折)
【Pet Link 寵物幹線】寵物鼠用消臭浴砂1kg Jolly JP鼠砂(寵物鼠 便砂 消臭),$72(售價已折)
寵物大便垃圾袋分配器-含垃圾袋(拾便袋 撿便袋 便便袋 撿屎袋 收納盒 寵物垃圾袋 寵物外出用品),$176(售價已折)
【Canary】Pet Best 超清爽抗菌鼠用便便砂 600g(倉鼠 寵物鼠 黃金鼠 廁所砂 便砂 消臭),$159
新款寵物外出飲水器(飲水瓶 飲水壺 餵水器 寵物水壺 外出水壺 寵物水杯 寵物外出用品),$269(售價已折)
【去除您的煩躁】日系攜帶式除毛球刷(除塵刷 除毛球 寵物毛 毛球修剪 靜電除毛 清潔用品 毛衣 交換禮物),$164(售價已折)
【寵物愛家】新穎商品貓咪狗狗家用吹風機烘乾箱-L(寵物生活用品),$984(售價已折)
【AOYI奧藝】INS風女神折疊可拆卸寵物外出推車(寵物外出用品 貓咪外出推車 貓咪外出背包 寵物貓咪旅行推車),"$6,072(售價已折)"
【寵物夢工廠】貓抓奶茶屋(貓玩具 貓用品 瓦楞紙 磨爪 貓窩 貓屋 貓抓板),$307(售價已折)
【e系列汽車用品】車用寵物後廂墊 KC761-3(後廂防水墊 寵物後廂墊 保潔墊),$540
【寵物愛家】寵物外出車用後排車載墊可折雙層寵物車用墊(寵物車用品),$738(售價已折)
【寵物愛家】活力橙大容量貓犬外出雙肩背包寵物外出包(寵物外出用品),"$1,242(售價已折)"
【PAWS FAMILIA 爪子本舖】寵物外出隨行水壺(寵物外出用品/外出隨行杯/寵物水壺/多功能隨行杯),$367(售價已折)
【pidan】寵物跑道地毯 -2片裝(貓狗外出用品),$550
【TOUCHCAT】逗貓棒 羽毛尾巴款 棕色(寵物玩具 貓用品 貓心動 貓狂愛 擬真搖尾),$179
【寵物愛家】新穎商品貓咪狗狗家用吹風機烘乾箱-L(寵物生活用品),$984(售價已折)
【寵物覺醒】超值鸚鵡派對玩樂套餐十件原色組(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鸚鵡玩具),$399
【上芳香業】往生用品 寵物金大盒附地藏王金 疏文(寵物 家畜 往生亦可適用),$197(售價已折)
【寵物覺醒】超值鸚鵡玩具派對玩樂套餐十件原色組(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$399
【May Shop】手提單肩包水洗牛仔包 狗包寵物旅行袋戶外用品,$401(售價已折)
【香濃寵物】南瓜窩 可愛小窩 小型寵物窩鳥巢(鸚鵡玩具、鳥用品、鸚鵡用品、倉鼠用品),$320
【ROYALLIN 蘿林嚴選】寵物狗狗外出專用防病毒口罩3入(口罩 寵物 寵物外出用品),$409(售價已折)
【寵物覺醒】超值鸚鵡派對玩樂套餐十件彩色組(TropicalPlanet/熱帶星球/耐咬磨牙/鸚鵡用品/鸚鵡玩具/鳥),$399
【寵物覺醒】鸚鵡玩具紙屑楞片啃咬串_10入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【AOYI奧藝】歡樂鳥籠發聲貓咪玩具(寵物玩具用品 不倒翁貓玩具 三種顏色供選擇),$434(售價已折)
【YOYO 悠悠水族】寵物堅果系列_帶殼核桃_三入組(鳥飼料、鸚鵡飼料、鳥用品、鳥玩具、鸚鵡用品、鸚鵡玩具),$295
【上芳香業】紙紮。往生用品。紙紮龍船 往生龍船 台幣版 美金版(頭七 百日 對年 往生者 祖先 寵物往生),"$1,264(售價已折)"
【寵物覺醒】鸚鵡玩具環形彩色捲紙條啃咬串＿6入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【寵物覺醒】鸚鵡玩具木珠木塊片啃咬串＿4入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【寵物覺醒】鸚鵡玩具星星木片塊皮繩啃咬串＿6入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【寵物覺醒】鸚鵡玩具天然木珠球啃咬串吊掛玩具＿20入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【YOYO 悠悠水族】寵物保暖燈罩_小號_無固定夾(兩棲爬蟲、爬蟲用品、陸龜用品、鸚鵡用品、寵物保溫),$490
【香濃寵物】100%天然啃木 2入組(蜂蜜/草莓味/原味、磨牙、小動物、鸚鵡玩具、鳥用品、倉鼠用品),$229
【TROOPETS  初沛】時尚寵物沐浴用品系列 狗狗洗毛精 340ml(寵物洗毛、寵物沐浴),$760
【寵物覺醒】鸚鵡玩具天然絲瓜片塊原木珠啃咬串_10入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【寵物覺醒】鸚鵡玩具天然草編瓦楞片啃咬串_10入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【寵物覺醒】鸚鵡玩具玉米瓦楞片啃咬串_10入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【寵物覺醒】鸚鵡玩具天然草編片瓦楞片啃咬串_10入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【寵物覺醒】鸚鵡玩具天然玉米片草編片啃咬串(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【寵物覺醒】鸚鵡玩具天然玉米皮片原木球啃咬串_10入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【BUBUPETTO】毛孩外出用免稀釋次氯酸水2000mlx3瓶(毛小孩 寵物 用品),$969
【PETA】貓咪玩具球毛絨自嗨解悶球彈力球16顆(寵物玩具貓貓狗狗球球用品),可訂購時通知我$153(售價已折)
【Nil】重力自嗨貓轉盤貓咪玩具 羽毛逗貓棒/搖擺乒乓球逗貓玩具 寵物貓玩具用品,$737(售價已折)
【pidan】寵物外出隨行杯 -兩色可選(貓狗外出用品),$420
【GEX】小動物柔軟白淨棉紙墊料1公斤(處女紙漿 白色 墊料 寵物鼠),$456(售價已折)
【寵物愛家】寵物小型貓犬雙肩外出寶貝寵物包(寵物外出用品),"$1,833(售價已折)"
【寵物愛家】網格透氣四季通用車載車用寵物外出包(寵物外出用品),"$1,331(售價已折)"
【SINGEN 信元發育寶】兔子倉鼠雪貂用除異味溫和低敏外用小寵物乾洗粉(100g/罐 天竺鼠),$239(售價已折)
愛心拍 訓狗棒 AH-439 兩入組(訓犬拍子 打狗棍 打狗棒 狗狗訓練器 狗用品 訓犬器 貓咪訓練器),$176(售價已折)
【8in1】自然奇蹟 犬用活氧酵素去漬除臭噴劑 甜瓜香味 32oz/946ml(送贈品 8合1 環境清潔 清潔用品),$587(售價已折)
【OTTO奧圖】兩棲爬蟲寵物岩石造型專用水盆-XL號(食物、盛水容器),$440(售價已折)
【Francodex法國法典】小動物極淨潔眼液 x3(寵物 老鼠 兔子 雪貂 眼睛 清潔 衛生 舒緩),"$1,026(售價已折)"
【寵物愛家】夏季Q版卡通寵物降溫冰墊-L(寵物生活用品),$414(售價已折)
【PETA】寵物伊麗莎白圈貓咪術後項圈狗狗貓咪通用防咬防舔圈保護頭套寵物防護用品(藍色鯊魚),可訂購時通知我$307(售價已折)
【寵物愛家】防貓抓磨保護沙發物品不掉屑劍麻貓抓墊(寵物居家用品),$406(售價已折)
【Richell 利其爾】特殊犬用品種狗碗 S號深型（白色普普風／粉色法國風）(寵物碗、狗碗),$755
【pidan】指套濕巾 15片1入(貓狗清潔護理用品),$190
【Richell 利其爾】特殊犬用品種狗碗 SS號深型（白色普普風／粉色法國風）(寵物碗、狗碗),$604
【PETPANNY 陪陪你】寵物抑菌濕紙巾80片*8包寵物全身/用品清潔(寵物濕紙巾、除臭、抑菌、免沖洗、清潔),$801(售價已折)
【TROOPETS  初沛】時尚寵物沐浴用品系列 尤加利平衡狗狗洗毛皂 200g(寵物洗毛、寵物沐浴),$217(售價已折)
寵物玩具棉繩甜甜圈2入組(耐咬耐啃 抗焦慮 互動 增進感情 陪伴 狗 貓 犬 磨牙 訓練用品),$228(售價已折)
【寵物夢工廠】攜帶式可摺疊防水貓砂盆L號(貓廁所/防水/貓盆/貓用品),$299(售價已折)
【木酢達人】酚多精寵物環境/用品除臭液(4900ml+450ml_橘油),$764(售價已折)
【寵物愛家】皮絨胸背寵物牽引繩4件組(寵物外出用品),$492(售價已折)
【寵物愛家】太空領航員PVC防水寵物專用墊-XS(寵物生活用品),$288(售價已折)
【pidan】手套濕巾  6片1入(寵物清潔 護理用品 手套濕巾),$190
【e系列汽車用品】車用前座寵物保潔墊 KC761-2(隔離網 前排防水墊 寵物前座 保潔墊),$252
【木酢達人】酚多精寵物環境/用品除臭液(4900ml+450ml_薰衣草),$764(售價已折)
【YOYO 悠悠水族】爬蟲專用天然岩板_大號_二入組(兩棲爬蟲、爬蟲用品、陸龜用品、鸚鵡用品、寵物躲藏),$480
【寵物愛家】夏季好物貓犬降溫涼感巾(寵物涼夏用品),$214(售價已折)
【寵物愛家】夏季Q版喵言汪語寵物圓型降溫冰墊(寵物生活用品),$488(售價已折)
【寵物愛家】太空領航員PVC防水寵物專用墊-S(寵物生活用品),$442(售價已折)
【Richell 利其爾】特殊犬用品種狗碗 M號深型（白色普普風／粉色法國風）(寵物碗、狗碗),$889(售價已折)
【KOJIMA】日本寵物護理用品 全身免沖洗泡沫清潔劑(植物低敏配方 保護愛寵柔嫩肌膚),$250
【寵物愛家】寵物防飛濺包殼指甲剪(寵物清潔用品),$221(售價已折)
【GBPH 好寶貝】寵物自動清潔推毛針梳(寵物針梳/按摩梳/脫毛梳/寵物美容用品/貓狗),$590
【LINSLINS 林趣】寵物祛毛針梳 兩色(貓狗除毛用品),$288
【PETA】3入寵物毛絨玩具貓薄荷鈴鐺發聲貓咪用品-飯糰(安撫幼貓自嗨),$207(售價已折)
【LUCKY ROOM】寵物☆所 寵物尿盆 狗☆所(狗尿盆 狗用品 尿盆),"$1,219"
【YOYO 悠悠水族】萬向夾燈罩(兩棲爬蟲、爬蟲用品、陸龜用品、鸚鵡用品、寵物保溫、陸龜保溫),$390
【寶寶用品】防水透氣超薄尿墊2入組(嬰兒 床墊 防水墊 生理墊 寵物墊 保潔墊 防尿墊 隔尿墊 環保尿布墊),可訂購時通知我$198(售價已折)
【寵物愛家】寵物外出車用後排車載墊可折雙層寵物車用墊(寵物車用品),$738(售價已折)
寵物安全帶 AH-475 貓狗安全帶(小狗汽車安全扣 小型中型大型犬 車用安全帶 寵物牽引繩 汽車用品),$134(售價已折)
【寵物愛家】掛籠平放式寵物飲水器寵物日常用品(寵物飲水器),$354(售價已折)
【美好寵商】DOGNESS多尼斯 迷彩系列胸背帶_M號(胸背袋 狗狗用品 寵物胸背),$800
【美好寵商】DOGNESS多尼斯 迷彩系列胸背帶_L號(胸背袋 狗狗用品 寵物胸背),$890
【PETHROOM】寵物洗澡防滑矽膠墊(貓狗沐浴用品),$520
【YOUPICK】PINKIN 愛鼠沐浴砂 500g(鼠消臭沙/鼠沙/寵物鼠砂/UP0361),$251(售價已折)
【典贊創意】寵物陶瓷草架食盆(天竺鼠兔子龍貓刺蝟 防打翻防啃 兔子草架 兔子食盆 天竺鼠用品),$455(售價已折)
【YOYO 悠悠水族】寵物角落型躲藏穴(兩棲爬蟲、爬蟲用品、鸚鵡用品、寵物躲藏、爬蟲躲藏、躲藏窩),$290
【卷貝貝生活館】寵物時尚雨鞋-XL碼(寵物雨鞋 寵物防滑鞋 寵物外出用品 貓狗通用 雨天用品),$375
【YOYO 悠悠水族】爬蟲專用UVB燈泡(兩棲爬蟲、爬蟲用品、陸龜用品、鸚鵡用品、寵物保溫、陸龜保溫),$390
【YOYO 悠悠水族】角落型寵物餵食盆_大_二入組(兩棲爬蟲、爬蟲用品、陸龜用品、寵物躲藏、爬蟲食盆),$590
【上芳香業】九品 蓮花塔 九色 往生咒 靈堂(頭七 百日 對年 往生者 先 寵物往生),$702(售價已折)
【bonbonpet】蹦蹦跳 貓咪強效清潔組 貓咪天竺葵快樂腳+擦澡手套5入(貓咪 清潔用品 足部清潔 身體清潔),$543(售價已折)
【SIRIUS Petfume 希蕊斯】開心狗用品除臭噴霧 400ml(韓國LG原廠公司貨),$254(售價已折)
【YOYO 悠悠水族】角落型寵物餵食盆_大(兩棲爬蟲、爬蟲用品、陸龜用品、寵物躲藏、爬蟲食盆、寵物碗),$350
【YOYO 悠悠水族】寵物方型躲藏穴(兩棲爬蟲、爬蟲用品、陸龜用品、鸚鵡用品、寵物躲藏、爬蟲躲藏、躲藏窩),$240
【上芳香業】紙紮。往生用品。寵物往生 貓咪 寵愛組 火化 飼料(寵物往生 頭七 百日 對年 亦可適用),"$1,500(售價已折)"
【TOUCHCAT】逗貓棒 點點羽毛款 棕紅色(姜公愛釣貓 寵物玩具 貓用品 貓奴互動遊戲),$179
【寵物覺醒】鸚鵡玩具木塊片圓珠啃咬串＿4入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【TOUCHCAT】逗貓棒 點點羽毛款 藍紫色(姜公愛釣貓 寵物玩具 貓用品 貓奴互動遊戲),$179
【Canary】Pet Best 小動物專用浴砂3入組(倉鼠 寵物鼠 黃金鼠 廁所砂 便砂 消臭),$219
【Besthot】高透明觀賞昆蟲寵物箱 大型(外出提箱 飼養箱 分開合養箱),可訂購時通知我$558(售價已折)
【寵物愛家】新穎商品貓咪狗狗家用吹風機烘乾箱-M(寵物生活用品),$861(售價已折)
【卷貝貝生活館】寵物時尚雨鞋-XXL碼(寵物雨鞋 寵物防滑鞋 寵物外出用品 貓狗通用 雨天用品),$437
【寵物愛家】雲朵造型寵物外出便攜飲水餵食器(寵物外出用品),$266(售價已折)
【寵物愛家】貓犬用品秋冬溫馨保暖帶枕寵物窩(寵物睡窩),$721(售價已折)
狗狗美容師,$250
【MATCH】四角 兔便盆 2入組(寵物鼠 小白兔 迷你兔 廁所 可裝紙砂 貓砂),$320(售價已折)
【Richell 利其爾】特殊犬用品種狗碗 SS號淺型（白色普普風／粉色法國風）(寵物碗、狗碗),$574
【Richell 利其爾】特殊犬用品種狗碗 S號淺型（白色普普風／粉色法國風）(寵物碗、狗碗),$695
【Richell 利其爾】特殊犬用品種狗碗 M號淺型（白色普普風／粉色法國風）(寵物碗、狗碗),$833(售價已折)
【KOJIMA】日本寵物護理用品 貓狗肉墊清潔泡沫(潔足泡沫 足部清洗液 植物配方 溫和不刺激),$190
【KOJIMA】日本寵物護理用品 牙結石刮刀(精湛工藝 匠心品質),$171
【KOJIMA】日本寵物護理用品 多用途清潔棉片(精選好棉 溫和吸水),$89
【KOJIMA】日本寵物護理用品 一次性浴巾(一次一片 乾淨衛生無細菌 毛巾),$190
【KOJIMA】日本寵物護理用品 球狀雙頭耳部清潔棉棒(訂製棉頭 可防止棉籤過於深入耳道),$99
【寵物夢工廠】貓頭鷹貓抓窩(貓抓板 耐抓 貓抓屋 貓抓板 貓用品 造型貓抓板),$345(售價已折)
【寵物覺醒】鸚鵡玩具天然玉米皮繩原木片塊啃咬串吊_10入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【寵物覺醒】鸚鵡玩具原木玉米皮繩啃咬串＿4入(台灣/Tropical Planet/熱帶星球/鸚鵡用品/鳥),$499
【寵物愛家】防貓抓磨保護沙發物品不掉屑劍麻貓抓墊(寵物居家用品),$406(售價已折)
【PETHROOM】柔軟親膚吸水巾 魔法手套(寵物 貓狗 沐浴用品),$650
【pidan】貓狗專用濕紙巾 10抽 超值10包入 寵物 環境 便攜款 清潔用品(寵物清潔護理用品),$180
【美國 SHOTS OUCH】寵物調教區 可愛狗奴面罩(狗奴調教.情趣用品.BDSM.PUPPYPLAY),"$2,349(售價已折)"
【Union汝欣】噢易洗 OEC 口腔衛生用品 潔齒液 120mL+潔耳液 120mL(口腔＋耳道清潔守護 降低異味),$540
【金德恩】LIXIT 寵物專用清潔梳毛刷(清潔/按摩/寵物/美國製造),$292(售價已折)
【pidan】透明防滑貓碗架 寵物碗 餵食容器 貓食物碗(貓狗餐具用品),可訂購時通知我$450
【YOYO 悠悠水族】寵物溫控加熱墊_14W(兩棲爬蟲、爬蟲用品、陸龜用品、鸚鵡用品、寵物保溫、陸龜保溫),$500
【YOYO 悠悠水族】爬蟲聚熱燈泡_75W(兩棲爬蟲、爬蟲用品、陸龜用品、鸚鵡用品、寵物保溫、加熱燈),$320
【YOYO 悠悠水族】爬蟲聚熱燈泡_25W(兩棲爬蟲、爬蟲用品、陸龜用品、鸚鵡用品、寵物保溫、陸龜保溫),$320
【美好寵商】DOGNESS多尼斯 迷彩系列胸背帶_S號(胸背袋 狗狗用品 寵物胸背),$712
【GBPH 好寶貝】寵物自動清潔推毛針梳(寵物針梳/按摩梳/脫毛梳/寵物美容用品/貓狗),$590
【Dogfeet】暖呼呼圓型冬床 寵物冬床(貓咪用品 狗窩 寵物床墊 可愛寵物窩 寵物冬床 貓窩),$625(售價已折)
【Dogfeet】暖暖圓滾滾冬床 小型寵物冬床(貓咪用品 狗窩 寵物床墊 可愛寵物窩 寵物冬床 貓窩),$437(售價已折)
